f413 icon-aaabattery
f261 icon-abacus
f05e icon-accountfilter
f3ea icon-acsource
f3da icon-addfriend
f08f icon-address
f1fd icon-addshape
f394 icon-addtocart
f2ac icon-addtolist
f484 icon-adjust
f1c9 icon-adobe
f082 icon-ads-bilboard
f01e icon-affiliate
f06f icon-ajax
f233 icon-alarm
f23d icon-alarmalt
f19f icon-album-cover
f2b4 icon-alertalt
f269 icon-alertpay
f0b8 icon-algorhythm
f41f icon-alienship
f3be icon-alienware
f1d9 icon-align-center
f1da icon-align-justify
f1d7 icon-align-left
f1d8 icon-align-right
f1d3 icon-alignbottomedge
f1d2 icon-alignhorizontalcenter
f1d6 icon-alignleftedge
f1d5 icon-alignrightedge
f1d4 icon-aligntopedge
f1d1 icon-alignverticalcenter
f020 icon-amd
f2cb icon-analogdown
f2c8 icon-analogleft
f2c9 icon-analogright
f2ca icon-analogup
f000 icon-analytics-piechart
f001 icon-analyticsalt-piechartalt
f21d icon-anchor-port
f12a icon-android
f3c1 icon-angrybirds
f3ec icon-antenna
f056 icon-apache-feather
f356 icon-aperture
f26c icon-appointment-agenda
f171 icon-archive
f2fe icon-arrow-down
f305 icon-arrow-left
f304 icon-arrow-right
f301 icon-arrow-up
f317 icon-asterisk
002a icon-asteriskalt
40 icon-at
f3b9 icon-atari
f051 icon-authentication-keyalt
f239 icon-automobile-car
f08e icon-autorespond
f15a icon-avatar
f161 icon-avataralt
f342 icon-avengers
f04c icon-awstats
f2ef icon-axe
f004 icon-backup-vault
f005 icon-backupalt-vaultalt
f05f icon-backupwizard
f183 icon-backward
f234 icon-bag
f405 icon-baloon
f313 icon-ban-circle
f3f4 icon-banana
f006 icon-bandwidth
f262 icon-bank
f02f icon-barchart
f07d icon-barchartalt
f276 icon-barcode
f160 icon-basecamp
f2e9 icon-basketball
f3d3 icon-bat
f348 icon-batman
f104 icon-batteryaltcharging
f101 icon-batteryaltfull
f102 icon-batteryaltsixty
f103 icon-batteryaltthird
f0f4 icon-batterycharged
f0f3 icon-batterycharging
f0f9 icon-batteryeighty
f0f5 icon-batteryempty
f0f7 icon-batteryforty
f0fa icon-batteryfull
f0f8 icon-batterysixty
f0f6 icon-batterytwenty
f2b9 icon-bed
f244 icon-beer
2407 icon-bell
f30a icon-bigger
f278 icon-bill
f087 icon-binary
f2a0 icon-binoculars-searchalt
f390 icon-birdhouse
f36b icon-birthday
f2f9 icon-bishop
f421 icon-blackberry
f13e icon-blankstare
f167 icon-blogger-blog
f12b icon-bluetooth
f386 icon-bluetoothconnected
f2d9 icon-boardgame
f21a icon-boat
f1f4 icon-bold
f2dc icon-bomb
f35f icon-bone
f1ba icon-book
f143 icon-bookmark
f195 icon-boombox
f361 icon-bottle
f2ee icon-bow
f2f3 icon-bowling
f3d2 icon-bowlingpins
f37f icon-bowtie
f046 icon-boxtrapper-mousetrap
f0b4 icon-braces
f44b icon-braille0
f44c icon-braille1
f44d icon-braille2
f44e icon-braille3
f44f icon-braille4
f450 icon-braille5
f451 icon-braille6
f452 icon-braille7
f453 icon-braille8
f454 icon-braille9
f431 icon-braillea
f432 icon-brailleb
f433 icon-braillec
f434 icon-brailled
f435 icon-braillee
f436 icon-braillef
f437 icon-brailleg
f438 icon-brailleh
f439 icon-braillei
f43a icon-braillej
f43b icon-braillek
f43c icon-braillel
f43d icon-braillem
f43e icon-braillen
f43f icon-brailleo
f440 icon-braillep
f441 icon-brailleq
f442 icon-brailler
f443 icon-brailles
f455 icon-braillespace
f444 icon-braillet
f445 icon-brailleu
f446 icon-braillev
f447 icon-braillew
f448 icon-braillex
f449 icon-brailley
f44a icon-braillez
f3e3 icon-brain
f42f icon-bread
f41c icon-breakable
f25e icon-briefcase
f25f icon-briefcasethree
f0a2 icon-briefcasetwo
f10a icon-brightness
f10b icon-brightnessfull
f10c icon-brightnesshalf
f40a icon-broom
f159 icon-browser
f1b8 icon-brush
f1b5 icon-bucket
f0a7 icon-bug
f287 icon-bullhorn
f241 icon-bus
f137 icon-businesscardalt
f2bf icon-buttona
f2c0 icon-buttonb
f2c1 icon-buttonx
f2c2 icon-buttony
f22c icon-cactus-desert
f258 icon-calculator
f265 icon-calculatoralt
f20f icon-calendar
f0a1 icon-calendaralt-cronjobs
f19b icon-camera
f29a icon-candle
f42d icon-candy
f37d icon-candycane
f401 icon-cannon
f1c8 icon-canvas
f205 icon-canvasrulers
f3e8 icon-capacitator
21ea icon-capslock
f341 icon-captainamerica
f3f2 icon-carrot
f26e icon-cashregister
f377 icon-cassette
f0cd icon-cd-dvd
f277 icon-certificate
f058 icon-certificatealt
f059 icon-certificatethree
f086 icon-cgi
f079 icon-cgicenter
2441 icon-chair
f162 icon-chat
f310 icon-check
f311 icon-checkboxalt
f223 icon-checkin
f227 icon-checkinalt
f3ce icon-chef
f35d icon-cherry
f48b icon-chevron-down
f489 icon-chevron-left
f488 icon-chevron-right
f48a icon-chevron-up
f0b5 icon-chevrons
f359 icon-chicken
f367 icon-chocolate
f40f icon-christiancross
f37b icon-christmastree
f14e icon-chrome
f229 icon-cigarette
f475 icon-circle-arrow-down
f472 icon-circle-arrow-left
f473 icon-circle-arrow-right
f474 icon-circle-arrow-up
f0d1 icon-circleadd
f0d2 icon-circledelete
f3c7 icon-circledown
f3c6 icon-circleleft
f3c9 icon-circleright
f0d3 icon-circleselect
f1b1 icon-circleselection
f3c8 icon-circleup
f1e7 icon-clearformatting
f0cb icon-clipboard-paste
f22b icon-clockalt-timealt
f170 icon-closetab
f16e icon-closewindow
f0b9 icon-cloud
f0bb icon-clouddownload
f007 icon-cloudhosting
f0bc icon-cloudsync
f0ba icon-cloudupload
f2f6 icon-clubs
f33a icon-cmd
f036 icon-cms
f0b0 icon-cmsmadesimple
f077 icon-codeigniter
f235 icon-coffee
f366 icon-coffeebean
f00f icon-cog
f024 icon-colocation
f023 icon-colocationalt
f1e6 icon-colors
f12c icon-comment
f080 icon-commentout
f155 icon-commentround
f156 icon-commentroundempty
f157 icon-commentroundtyping
f158 icon-commentroundtypingempty
f12d icon-commenttyping
263c icon-compass
f0af icon-concretefive
f040 icon-contact-businesscard
f2d2 icon-controllernes
f2d1 icon-controllerps
f2d3 icon-controllersnes
f008 icon-controlpanel
f009 icon-controlpanelalt
f00a icon-cooling
f0a4 icon-coppermine
f0c9 icon-copy
00a9 icon-copyright
f254 icon-coupon
